ppm	blank_peak	blank_intensity_flag	align_score	solera_NMR_CDCL3_3	aos122_ga_ms2_NMR_CDCL3_4	aos127_ga_ms2_NMR_CDCL3_5	aos129_ga_ms2_NMR_CDCL3_6	aos142_ga_ms2_NMR_CDCL3_7	aos145_ga_ms2_NMR_CDCL3_8	aos149_ga_ms2_NMR_CDCL3_9	aos25_ga_ms2_NMR_CDCL3_10	aos27_ga_ms3_NMR_CDCL3_11	aos32_ga_ms2_NMR_CDCL3_12	aos43_ga_ms4_NMR_CDCL3_13	aos46_ga_ms2_NMR_CDCL3_14	aos48_ga_ms2_NMR_CDCL3_15	aos50_ga_ms2_NMR_CDCL3_16	aos54_ga_bku_NMR_CDCL3_17	aos58_ga_ms2_NMR_CDCL3_18	aos65_ga_ms2_NMR_CDCL3_19	aos67_ga_ms2_NMR_CDCL3_20	aos76_ga_ms2_NMR_CDCL3_21	aos78_ga_ms4_NMR_CDCL3_22	aos127_ga_ms3_NMR_CDCL3_24	aos106_co_ms2_NMR_CDCL3_25	aos99_ga_ms2_NMR_CDCL3_26	aos108_ga_ms2_NMR_CDCL3_27	aos113_ga_ms1_NMR_CDCL3_28	aos115_gt_ms1_NMR_CDCL3_29	aos165_ga_ms2_NMR_CDCL3_30	aos167_ga_ms3_NMR_CDCL3_31	aos170_ga_ms2_NMR_CDCL3_32	aos173_ga_ms2_NMR_CDCL3_33	aos174_ga_ms2_NMR_CDCL3_34	aos175_ga_ms2_NMR_CDCL3_35	aos188_ga_ms3_NMR_CDCL3_36	aos192_ga_ms2_NMR_CDCL3_37	aos199_ga_ms2_NMR_CDCL3_38	aos200_ga_ms2_NMR_CDCL3_39	aos53_ga_ms2_NMR_CDCL3_40	aos56_ga_ms2_NMR_CDCL3_41	pooled_natural_isolate_NMR_CDCL3_42	pooled_pd1074_NMR_CDCL3_43	solera_NMR_CDCL3_44	solera_NMR_CDCL3_49	aos184_ga_ms2_NMR_CDCL3_50	aos185_ga_ms2_NMR_CDCL3_51	aos27_ga_ms4_NMR_CDCL3_52	aos28_ga_ms2_NMR_CDCL3_53	aos35_ga_ms2_NMR_CDCL3_54	aos36_ga_ms2_NMR_CDCL3_55	aos37_ga_ms2_NMR_CDCL3_56	aos38_ga_ms2_NMR_CDCL3_57	aos40_ga_ms2_NMR_CDCL3_58	aos42_ga_ms2_NMR_CDCL3_59	aos43_ga_bku_NMR_CDCL3_60	aos54_ga_bku2_NMR_CDCL3_61	aos71_ga_ms2_NMR_CDCL3_62	aos74_ga_ms2_NMR_CDCL3_63	aos69_ga_ms1_NMR_CDCL3_64	aos86_ga_ms2_NMR_CDCL3_65	aos90_ga_ms3_NMR_CDCL3_66	aos98_ga_ms2_NMR_CDCL3_67	aos99_ga_ms2_NMR_CDCL3_68	aos73_ga_ms2_NMR_CDCL3_70	aos81_ga_ms2_NMR_CDCL3_71	aos87_co_ms3_NMR_CDCL3_72	aos100_ga_ms2_NMR_CDCL3_73	aos96_ga_ms2_NMR_CDCL3_74	aos82_ga_ms2_NMR_CDCL3_75	aos84_ga_ms2_NMR_CDCL3_76	aos92_ga_ms2_NMR_CDCL3_77	aos93_ga_ms2_NMR_CDCL3_78	aos95_ga_ms2_NMR_CDCL3_79	aos107_ga_bku_NMR_CDCL3_80	aos109_ga_ms2_NMR_CDCL3_81	aos111_ga_ms2_NMR_CDCL3_82	aos116_ga_ms2_NMR_CDCL3_83	aos113_ga_ms1_NMR_CDCL3_84	aos125_ga_ms2_NMR_CDCL3_85	aos134_ga_ms2_NMR_CDCL3_86	aos140_ga_ms3_NMR_CDCL3_87	aos171_ga_ms2_NMR_CDCL3_88	aos180_ga_ms2_NMR_CDCL3_89	pooled_mutant_NMR_CDCL3_90	pooled_pd1074_NMR_CDCL3_91	solera_NMR_CDCL3_92	solera_NMR_CDCL3_97	aos85_ga_ms3_NMR_CDCL3_98	aos181_ga_ms2_NMR_CDCL3_99	aos193_ga_ms3_NMR_CDCL3_100	aos196_ga_ms2_NMR_CDCL3_101	aos26_ga_ms2_NMR_CDCL3_102	aos39_ga_ms2_NMR_CDCL3_103	aos41_ga_ms2_NMR_CDCL3_104	aos33_ga_ms2_NMR_CDCL3_105	aos44_ga_ms2_NMR_CDCL3_106	aos47_ga_ms2_NMR_CDCL3_107	aos49_ga_ms2_NMR_CDCL3_108	aos51_ga_ms2_NMR_CDCL3_109	aos45_ga_ms2_NMR_CDCL3_110	aos54_ga_ms4_NMR_CDCL3_111	aos66_ga_ms2_NMR_CDCL3_112	aos70_ga_ms2_NMR_CDCL3_113	aos69_ga_ms3_NMR_CDCL3_114	aos75_ga_ms4_NMR_CDCL3_115	aos79_ga_ms2_NMR_CDCL3_116	aos83_ga_ms2_NMR_CDCL3_117	aos87_ga_ms3_NMR_CDCL3_118	aos91_ga_ms2_NMR_CDCL3_119	aos101_ga_ms2_NMR_CDCL3_121	aos102_ga_ms3_NMR_CDCL3_122	aos105_co_ms2_NMR_CDCL3_123	aos113_ga_ms1_NMR_CDCL3_124	aos114_ga_ms2_NMR_CDCL3_125	aos118_ga_ms2_NMR_CDCL3_126	aos120_ga_ms2_NMR_CDCL3_127	aos133_ga_ms2_NMR_CDCL3_128	aos135_ga_ms2_NMR_CDCL3_129	aos140_gt_ms3_NMR_CDCL3_130	aos166_ga_ms2_NMR_CDCL3_131	aos167_ga_ms4_NMR_CDCL3_132	aos169_ga_ms2_NMR_CDCL3_133	aos197_ga_ms1_NMR_CDCL3_134	aos196_ga_ms3_NMR_CDCL3_135	aos193_ga_ms2_NMR_CDCL3_136	aos198_ga_ms2_NMR_CDCL3_137	aos88_ga_ms2_NMR_CDCL3_138	aos94_ga_ms2_NMR_CDCL3_139	aos85_ga_ms2_NMR_CDCL3_140	aos99_ga_ms2_NMR_CDCL3_141	pooled_mutant_NMR_CDCL3_142	pooled_pd1074_NMR_CDCL3_143	solera_NMR_CDCL3_144
ppm_nve_0_46093	0	0	103.9	201074183.5	207575568.9	109073780.3	145730070.2	108792746	96777116.12	96687060.29	109420366.7	107798628.8	114333286.3	29034212.98	75008992.93	107480028.6	168262863.3	122597101.2	62566062.89	88652176.54	149829637.8	252980687	172984145.4	265083870.7	103506337.1	163237294.7	240336355.7	111745569.7	115265947.2	127572289.7	185865154.3	124698886.9	226595923.5	77252039.83	123841659.4	115801225.2	117859671.7	103226851.5	125866245	115562682.4	88023894.9	242253900.3	146226958.8	211619612.3	242891446.5	157788819.4	328590472.1	138022417.8	145005578.7	145296233.1	103979734.4	104941225.7	151119260	113716560.1	211319708.4	221517178	130154984.4	287819774.2	308945083.3	87084560.59	121085369.1	245454020.2	319264661.4	168191574.5	164807442.2	104815033.4	131514328.4	394031558	274844977	78873811.45	202794676.2	307019353.8	184899716.3	93945912.08	84020765.64	288485490.5	304661115.4	231770899.1	93867140.61	128590752.1	290302413.9	106320053.4	98568902.93	200645350.2	189963516.8	199033384.1	238988888.6	257395315.6	94206696.83	292293420.6	106289011.7	175311507.3	97978174.4	145090388.2	141177529.4	138939502.6	111162333.2	123652798.6	144482885.1	201183525	80637291.98	120526612.4	131966106.8	121621213.5	136433178.7	301302851.4	187071382.4	332506909.1	181063373.2	172912652.8	137160244.9	140680045.7	229014210.5	115640341.4	300458037	124104253.3	114633238.4	145068264.7	162369621.7	167000227.2	90938358.78	150357789	122974684.3	130018906.8	151285406.3	153669590.6	79692730.89	122435809.5	399800544.9	98090136.54	136987049.6	128981975.9	212311936.1	233349603.4
ppm_nve_0_37368	0	0	21.47	8487246427	9217823816	5475574318	4530854283	823833438.1	271013784.5	1990989204	3701487269	2345131386	1984072315	1856564870	205510264.5	1938218517	1804708610	1474872757	2884729429	710676339.2	2811952294	10270084713	5402075496	5390465591	2619432731	3423071443	2784004971	1143228307	356852587.3	4317455727	4458401194	74219949.2	7016541646	291796436	1352714120	4046955645	1930868886	1401961308	3817023287	697314487.1	1343867321	4478336555	3695698431	74219949.2	74219949.2	74219949.2	7321274466	74219949.2	1277044171	6198355602	74219949.2	1467602427	4699469377	559209590.8	5468769624	2352413896	7486021424	74219949.2	74219949.2	2258494050	1680101066	5449432033	9357750772	3737369150	74219949.2	1194577944	5202442350	9605417781	5722662911	1485681193	7253503164	9622173314	4495524889	1057144696	1349969574	74219949.2	8361692447	74219949.2	1233743581	5453882010	6305693315	74219949.2	1043926326	74219949.2	5643614608	74219949.2	10430206538	8521680502	629018932	74219949.2	74219949.2	5041859179	74219949.2	5160990083	4217913958	74219949.2	1188022394	2126717800	591316751.4	6312895896	826336639.8	1276287384	3133186637	2003234038	2333094035	10078176627	6435268301	14303954708	5245871360	5237141412	1411099529	4691438426	74219949.2	1009931962	11583110056	3004623605	2653184302	74219949.2	74219949.2	74219949.2	979027305.7	74219949.2	413125853.5	4142263994	4207852145	74219949.2	660953430	1969408159	74219949.2	552007779.9	3965489835	4379636897	6014967832	8444455775
ppm_nve_0_36174	0	0	11.04	19873664513	22072250853	13131609341	10870085963	1994355319	554843189.7	4839316065	9006728472	5684283376	4797775950	4437184416	459286288.3	4637458399	4321474783	3496152497	6877299517	1809121310	6909588306	25085208172	13367381704	12577394391	6113830076	8166682425	6619189547	2783225484	753698515.8	10564366273	11032901013	836628369.8	17402989986	658160047.4	3290402035	9873641011	4642998741	3300923007	9277068307	1601871202	3248950502	10542572532	8816112957	20602035563	22821529962	16270439148	17776288599	11714241057	2720303570	15587414778	530925627.1	3546744225	11743825812	1364030490	13112859271	5635308821	16460688593	12497135560	23937768019	5474240639	3942815517	13143417128	23259628681	8541950551	14141309486	2864983032	11703368898	23513623913	13388508391	3463370117	17465845142	22129484400	10928958207	2446709935	2989007090	9848252530	19193963650	7440143566	2963269247	12808347671	14559545133	8514364398	2549236370	19086109686	14377499841	13665511121	24722190371	19772761975	1275086527	23801267235	5649103202	11792244997	3099773078	12350594054	9968742930	184393000.4	2564369050	5025668301	1176848585	15027045067	1887895154	3048291220	7356744689	4911197801	5472830332	23330301911	15169767896	34062908320	12718510627	12065299732	3281536817	11086117847	15711453423	2283883574	27524218704	7150587085	6084369065	5672047508	8173319989	8537400670	2275775175	9136400816	921805414.8	9370913861	10450988713	6246236505	1489663039	4885983974	35202765916	1194316524	9198613547	10308099447	13910969306	19961146053
ppm_nve_0_35339	0	0	7.39	20412546265	22291895615	13247843251	10939078834	2050316733	529656851.6	4989415948	9226820094	5771374786	4861537215	4541623074	454790188.5	4765566687	4424304213	3573565662	6988116389	1882640487	7072380595	25779479080	13631629187	12776965754	6199461984	8331160892	6833067074	2858237634	733190145.8	10780983163	11277707675	838887254.4	17829524224	662480086.3	3382516002	10121637648	4783263200	3411428336	9539960380	1613626549	3368153495	10724253616	8948781184	20360859361	22706146875	16358920824	17981922710	11089655467	2746195870	16284881479	563295557.4	3664804678	12079217870	1400150921	13331438363	5758903064	16267313634	12173179714	24122633130	5575438210	4013560561	13375519133	23912303241	8544846167	14143416849	2907313658	11591751353	24009741153	13519432490	3506722038	17618129922	22505047745	11183838512	2457223492	2942596607	9778530871	19157029878	7534200924	3069147512	12844681646	14666818519	8687367437	2617380550	16414287027	15568153526	13591007714	25411861289	20104697235	1276594053	23493495240	5519550717	11802772301	3130185739	12389771987	10066047827	267391389.3	2547803286	5117408396	1215039841	15042951441	1901142555	3057892122	7335723090	4976870818	5534556254	23017894493	15152678605	33958988660	12794661159	11962943861	3358957475	11198093690	15654645646	2284284207	27618221227	7198135002	6046053032	5544103081	8191910350	8485090123	2244131754	8907140117	940793551.2	9224430637	10454760237	6157940233	1472188872	5030533264	34314249031	1218894219	9238169052	10270459828	13897155113	20314908646
ppm_nve_0_34185	0	0	10.82	8211509894	8930288800	5286819762	4441555949	906155654.7	270207307.4	2048243620	3760103394	2385633233	2021131129	1864482463	233136450.9	1965823639	1894099847	1486952488	2807262753	871896852.6	2928605999	10494154096	5554383390	5272296032	2518973898	3444022161	2996767932	1223044050	363917065.9	4425005640	4713770048	420065414.9	7543631416	315697351.6	1411432117	4193541518	2015616194	1433580516	3853462714	692734703.7	1434004119	4485287270	3661305004	8209700605	9025532226	172075045.9	7593215519	4286939574	1144217170	6874890080	278479445.4	1539929476	5026891465	634657200.5	5558584248	2478486973	6262914584	172075045.9	9643131678	2267772814	1619606262	5500213301	10052096520	3415705423	172075045.9	1236284610	4647645352	10008989736	5599418208	1475316535	7226155116	9032486102	4586266614	1043874289	1193276430	172075045.9	7794722739	172075045.9	1272174071	5214383231	6057475197	3482600139	1131953006	172075045.9	8008119237	172075045.9	10300166701	7831043590	515087597.7	9106798452	2155820691	4537747430	172075045.9	4814442896	3972130688	172075045.9	978772354.8	2026943379	571214192.9	5843474470	783770291.6	1281281593	2872750887	2060527379	2181095390	8730456623	5906858115	13260172232	5150032039	4649135809	1409493857	4485176093	172075045.9	916808947	10986106978	2814393994	2345164714	172075045.9	172075045.9	172075045.9	908250512.6	3489573593	413411046.2	3577630983	4183425545	172075045.9	636047582	2206988029	12692159572	510741365.5	3578998122	4063248257	5407873882	8107169045
ppm_nve_0_32124	0	0	58.71	144326885.2	235342963.5	253830731.3	205564928.1	116238024.6	104338920.1	138567268.8	181294467.9	164304819.7	104059970.3	153106934.6	88380315.2	130529329.1	257332159.5	173505374.7	165386499.5	111930775.5	214353970.3	647241475.2	307789719.6	484107840	188006895.1	282570716.1	353518708.7	54846895.77	163268986.9	289406098.7	318323133.9	153192126.3	329663414.7	97094871.69	136543660.3	223491853.3	184290378	153667528.7	231325399.9	54846895.77	54846895.77	402822434	225031226	223726989.8	307896306.8	353078100.7	601830214.5	259568743.7	54846895.77	339645123.7	105609680.3	54846895.77	269905462.4	137820605.9	367077409.6	322221290.9	322169548.2	514479280.8	577712345	150635349.7	157413247.9	433575514.7	565655112.2	274310265.7	319344575	145657352.7	293923074.6	704032829.8	473415916.4	148362179.7	336360818.5	534465014	339792787.7	138122637.5	125233064.8	521135388.5	601754403.8	416317210.2	108499460.2	320674032.4	558301410.5	204867518.8	114825955.1	54846895.77	54846895.77	399285984.7	329744891.6	129452716.3	101672788.6	267251339	165456937.6	192131760.6	54846895.77	191143623.2	141110993	54846895.77	54846895.77	131568652.6	133865225.2	235549142.5	92162665.69	96351252.13	139816417.1	118116205.3	110368820	250101501.1	213764172.8	350160445.5	220802664.4	204811335	147416461.7	190828158.9	224854655.9	54846895.77	278409152.7	182358626	101490189.3	163476788	162235284.7	158845320.8	54846895.77	123262370.9	117513791.7	176559671.3	146130401.4	187737886.9	94788067.48	152313461.7	292916393	54846895.77	142162484	178190770.9	189971598.7	157400395.6
ppm_nve_0_25692	0	0	109.24	156393469.8	174220685.8	122999442.6	109160097	104283303.9	117481026.4	98489287.56	128134692.1	118981192.9	96869575.86	139654350.1	100500293.5	113797273.4	185598785.1	135067350.3	123730056.2	104329231.8	40879724.12	256052002.7	40879724.12	303680157	88203346.31	203494501.3	291419194.9	143895144.9	40879724.12	128742898.4	240023687	173903124	342282611.3	107234336.5	94076916.56	149956738.1	145792317.3	109836011.3	99550376.74	140508479.2	127145244.3	312164819.2	136572612.7	219946703.1	270090845.6	240139866.6	417570493.4	180916882.4	141994020.9	193673932.8	97955912.37	111423196.4	166722130.2	136763178.7	277357061.5	280313045.7	159931933.6	360634348	355865884.6	127035142.9	149096599.4	286710629.6	354886268.8	170114683.4	207541391.5	142269560.8	157275984	520896224.9	373362320.1	130266151.7	227452501.7	321064708.7	238618544	117003913.6	111175033.2	429911621.4	412686033.5	312550811.6	120266487.3	186789164.1	371666991.7	124351429.6	40879724.12	464091315.6	253029011.8	261007975.3	239040657.8	155942190.3	101215016.5	202279306.2	103196894	144533152.9	82225931.77	131564189.3	138345304	110635879.1	97046399.55	104181523.2	137170662.8	151340080.1	85856221.28	98977476.05	99604491.71	106024922.3	117886663.7	194132918.1	141756605.5	254606061.4	153571165	106744460.7	131333916.4	127089819.7	161845333.7	97938537.27	176182682.9	99260675.92	102670775.2	107332737.9	120385673.4	150925833.6	95561899.29	106465194.9	151712345.5	140682102.4	131527700	115925836.2	40879724.12	88999656.84	275285188.6	85477712.2	92619651.91	107538128.4	150469128.1	159750814.1
ppm_0_047925	0	0	25.22	70418375.93	70418375.93	70418375.93	302801576.1	70418375.93	169771898.5	70418375.93	70418375.93	231919359.6	70418375.93	70418375.93	125747421.2	199283140.3	328448459.9	70418375.93	408846875.9	70418375.93	387846344.6	347030744.8	70418375.93	501974408.7	236393089.6	294231676.9	70418375.93	70418375.93	261319764.7	450465268.1	351672697.7	518223250.2	705466852	70418375.93	70418375.93	562426859.8	228808585.9	70418375.93	70418375.93	121461717.4	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	590699085.4	247289763.4	70418375.93	264762693.6	70418375.93	70418375.93	70418375.93	281505704.6	616519759.6	70418375.93	70418375.93	524237976.8	434679905.4	70418375.93	70418375.93	70418375.93	443131533.8	264630224	70418375.93	238761739	310293548.3	587937922.1	519362633.3	70418375.93	264474937	369336115	70418375.93	243150512.6	70418375.93	500449140.9	491486855.2	70418375.93	509983643.5	237405372.7	70418375.93	70418375.93	289968667.1	191221085.6	376198353	70418375.93	70418375.93	70418375.93	70418375.93	283924722.1	314332935.8	70418375.93	217740139.4	70418375.93	70418375.93	70418375.93	70418375.93	266923237.6	70418375.93	265201302	265195726.4	190878778.6	284767166.1	232863490.2	70418375.93	70418375.93	311989233.6	475443563.3	257862360.3	70418375.93	322154190.4	234826027.2	154825125.7	70418375.93	334562197.7	70418375.93	264629589.7	70418375.93	70418375.93	70418375.93	70418375.93	70418375.93	440770779.8	70418375.93	70418375.93	324154192.9	246219319.6	235906646.8	510701210.3	333581196.6	247808560.5	70418375.93	70418375.93	70418375.93
ppm_0_058749	0	0	9.27	3981435610	2644849683	3915076583	1101968074	2114689024	560948759.1	2231425306	245043458.9	235670541.2	509957842.7	1313577895	601026640.2	269990812.5	615755868.4	4577273510	1497046848	901550699.4	793971975.5	621197216.4	6499655383	2422511909	867652145.4	513188820.3	5190681257	3624451958	334582971.6	2156511210	805302388.8	2893496614	1445496343	335588118.5	2049848604	526164967.5	243759154.6	9221957630	1765499721	420074595.9	720902003.8	2522830950	1805841699	4565529741	4624122120	1758826758	683551121.7	281261940.2	440519175.2	930516598.3	265436968.5	3621623574	2485217841	314558721	3502583596	2183292050	2835882283	586469997.4	836178645.9	2281508940	2040042641	13001525626	901929135.5	708896182.3	2968678244	338563519.6	353167619.3	708318019	827865010.6	1633347510	401371428.5	559540675.8	2083496888	256378968.9	1295242952	708304190.7	1105403784	2854363962	1355132180	712641754.7	1381201809	926067010.2	1673647015	188745985.4	1494608831	2525694511	4250882171	4323173477	2649134440	317028909.8	833212966.2	11706209173	512247184.4	2931366480	2195205958	372412237.6	2528273385	763750857.4	216947302.1	393606271.8	2142111244	867972852.1	985604367.6	983611183.1	2910380954	10429553783	1662679500	1094445988	657950754.6	2314568528	1213809548	602497561	227712171.6	2081719769	2665265874	3004225163	1032947017	2119087393	1785866607	1187041732	6675965223	3070495903	901701179.9	6751834644	7113509568	988895059.3	1054855790	1069759707	598841982.8	1803170323	978946352.2	1820392771	4403894900	4393088367
ppm_0_07105	0	0	46.04	498530367.3	138460959.5	216866685.1	173682783.7	202127963.3	85619593.87	185383026.5	200609317.7	85619593.87	85619593.87	438459785.3	154829291.6	122393193	221814696.9	747347268.9	85619593.87	578010442.1	85619593.87	236598274.5	1218338151	85619593.87	85619593.87	246949567.3	539607402.8	279603347.9	206793983	245262406.3	85619593.87	247640707.2	522613024	227312737.2	482101278.8	266995610.1	85619593.87	504826421.7	292443669.2	145622423.4	294728107.4	525104097.3	338103997.7	500433717.7	801199290	374129444.4	473573823.1	210102065	278862510	196335806.9	223680858	262809513.1	238855376	228099181	335528671.7	692152565.9	85619593.87	426211838.9	363681153.3	298231006.8	319740468.3	1272816426	474652355.5	85619593.87	264113979.2	85619593.87	267715344.6	573884931.6	467771622	291410050.1	85619593.87	85619593.87	325047723.4	177149296.1	525145941.3	512428079.6	85619593.87	532541536.6	85619593.87	85619593.87	476287137.5	216805058.7	337091579.5	85619593.87	433805403.3	85619593.87	760963934	543392442.6	232751338	232119373.9	206052481	367212804.5	182357345.4	220937149.4	230910252.6	292978255.3	514246138	212642866.5	203609117.1	154120040.8	222065297.9	174021260.8	95669783.84	178293823.4	281813735.5	1910970004	187461996.6	498876076.8	211272424.5	337063464.7	161692761.4	166470563.4	163588078.5	204177730.2	229074583.7	85619593.87	171134330.7	206811983.7	191714872.1	176074374.1	310421714	645310654.7	275888445.9	288628392.2	285697516	170574028.8	141404459	149902287.2	406780737.7	286919300.3	230237324.9	172945759.1	463203163.5	438405172.6
ppm_0_095598	0	0	162.36	272326306.6	122551296.1	205138277.7	145083772.3	153267519.9	117827619.1	131143609.3	119150051.5	139468982.7	137491908.5	264668800.9	127782726.4	118192481.2	211388392	430047593.4	157483889.8	120659397.9	181475993.2	52303701.45	452136772.6	373479812.1	52303701.45	52303701.45	498878718.8	257883773.4	195697536.2	192158125.1	282055674.6	292949480.1	52303701.45	147335905.2	322720214.2	198758156.6	187601180.3	292623700.1	135593689.9	132948481.8	189202306.7	402252740.1	199006612.8	331637429.2	363345934.4	243297442.3	413091355.6	146690832.9	197828244.4	189964658.9	161085663.8	191542936.4	187789836.4	200844412.9	309779008.1	488223666.8	350285290	388462291.7	52303701.45	194618622.7	245043291.3	434699720.4	375339789.6	238419378.3	232550066.6	184041875.6	170431445.3	547567512.5	387474085.8	135067689	52303701.45	52303701.45	225309807.4	159434457.6	496365636.8	471842614.4	391853239.7	425844072.9	196174465.5	193521456.1	409444934.2	52303701.45	232720055.8	121307887.1	272980062.9	460885375.8	353678206.7	416988261.5	138666731.6	247777119.5	96718273.85	200469784.5	136504706	110101588.5	169869801.9	160730599.6	169785447	152709329.3	220699044	73767873.12	167788278	109954884	101438092.6	120212439.7	187654776.5	547653407	151211596.1	436062544.2	141509784.5	149130487.7	127285863.2	125678765.9	109449558.1	131404618.3	148869823.6	52303701.45	103862934.1	103275020.3	116508552.4	154021034.6	52303701.45	120063741.1	154259167.2	166628156.4	178015630.7	104572505.8	110342256.5	90841393.98	406329439.9	145451709.6	197939746.3	124961801.4	163279931.5	288858196.2
ppm_0_11676	0	0	15.44	248170168.3	195027415.7	195965577.4	74134033.83	74134033.83	110473629	164482481.3	111723887.2	74134033.83	131328174.3	238530825.4	119049688.2	133964365.1	216477044.5	397424419	164050933.4	74134033.83	190817428.4	239295597.6	514937302.8	74134033.83	126629569.6	210764535.2	74134033.83	232800165.1	74134033.83	152809994.9	292923932.8	74134033.83	383508819.4	74134033.83	288083862.3	215204869.9	182590719.7	311773003.4	193291943.9	121040369.4	74134033.83	429070853.1	74134033.83	74134033.83	74134033.83	285775842.8	440885110.6	164375683.6	218874602.3	202964635.5	74134033.83	232362426.8	209170143.2	74134033.83	345411530.2	459056829.7	314090152.3	402681132.8	327801051.2	216755544.6	224585786.7	830536315.5	385948345.4	255104194.4	224129351.8	216623246.4	190949102.1	74134033.83	391167153.7	178242722.9	74134033.83	74134033.83	256701920.5	172042573.1	393663823.1	470930208.2	405578645.5	425055239.3	217602877.5	251039720.1	74134033.83	155088567.9	270144231.3	132838872.2	272494637.6	338389599.5	291147601.3	197048216.2	165942343.7	264058885	105475144.8	215862814.2	74134033.83	115194813.4	148664845.3	74134033.83	346160862.5	133486165.7	74134033.83	74134033.83	132091190.9	100693973	119081963.4	145089856.9	176917717.1	1353136590	167820959.9	74134033.83	152681919.6	217163626.3	129823318.9	103048949.2	74134033.83	143549308.5	166652671	182329026.2	93450100.18	107576811.5	106189027.4	157811406	168208731.6	393452382.9	177240396.9	175405122.2	160622149.4	74134033.83	115375383.3	74134033.83	425730173.8	164061162.4	186574415.7	111513064.7	306979080.5	74134033.83
ppm_0_27097	0	0	1706.97	207607162.1	156268512.6	436294922.1	166187702	183692080.7	154717305.5	197826410	121927979.2	137572566.6	136467749.7	210037407.3	126245558.8	131709130.7	216023061.2	456217906.8	149803735.3	123564697.8	184726813.7	221373962.7	301572892.5	342957529.9	150948757.4	242361067.9	487402013	266470312	189992907.9	153549070.7	301790475.9	296948069.5	381623448.3	158183271.3	250798375.4	207685157.8	248686870.9	249731663.8	164813105.6	268093901.2	265955231	371417045.6	216975638.3	296943019.8	298561472.5	253891622.4	400465840.4	166928178.6	211301529.9	198532621.9	194202528.9	198847466	185510781.4	220871992.6	304949042.6	330295114.5	592988259.1	395064523	337378758.5	165123773.3	218737737.3	368956194.7	335810603.9	214759787.5	208371583.9	187908141.2	190951167.6	539418388	365779309.6	170331943.5	202741529	267103134	271419198.2	200989891.4	180295054.6	485064048.4	392904384.1	415916405.3	199237454	234193229.8	404932444.2	153141858.1	226019488.6	105901768.5	245577814.9	236968993.1	252808305	190567079	152645798.9	756823590.1	166151562.4	170948391	136149960.9	145672377.6	168252289.3	146005075.4	182215144.3	132391691.9	162753942.6	252099439.1	125898764.1	122023581.3	212789996.9	131333447.7	156802884.3	988329373.7	478464048.7	1136774835	150524522.2	339097978	132249479.5	131777003.3	303047772.6	148755338.6	500481930.4	164495986.1	135167366.5	244704707.5	119933954.2	173441427.2	131943553.1	273621244	161701752.5	173899287.3	169563573.9	133263785.1	117937848.1	132900068.2	879308416.3	123068511.9	423313067.8	152330659.1	197932752.3	186715893.9
ppm_0_42422	0	0	17.92	94977135.04	194438207.6	37224518.87	37224518.87	37224518.87	37224518.87	79301664.27	37224518.87	83558945.72	37224518.87	37224518.87	37224518.87	75674123.89	37224518.87	106109203.9	102243460.7	80283667.54	37224518.87	37224518.87	37224518.87	295208275.9	101160558	147774178.6	37224518.87	171749029.8	199327695.1	105855302.8	37224518.87	37224518.87	37224518.87	132272833	37224518.87	163136517.2	182478803.1	37224518.87	89658020.07	37224518.87	201836254.4	37224518.87	37224518.87	144839260.3	130768128.3	175722639.9	37224518.87	37224518.87	172175829	180894865.8	140014995.9	37224518.87	37224518.87	37224518.87	37224518.87	243868749.2	37224518.87	37224518.87	37224518.87	37224518.87	139245094.1	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	425760723.5	267092293.5	37224518.87	144327786.9	37224518.87	37224518.87	37224518.87	37224518.87	381880013.1	37224518.87	37224518.87	37224518.87	141515836	37224518.87	128230685.4	183036782.1	66132675.37	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	37224518.87	194187257.7	37224518.87	37224518.87	37224518.87	37224518.87	192378821.3	37224518.87	37224518.87	101646365.5	237241605	37224518.87	139796280.4	1077560048	37224518.87	1259361098	169887803.2	37224518.87	131458671.5	142260721.2	37224518.87	105583991.9	37224518.87	37224518.87	37224518.87	37224518.87	139917018.4	37224518.87	86707975.71	315640301.4	37224518.87	37224518.87	37224518.87	210579811.6	116843058.2	37224518.87	1099142027	37224518.87	460741728.5	194787656.3	37224518.87	37224518.87
